,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
300,brasileiro-a,2016,38,11-12,Atlético-PR,Flamengo,0,0,EMPATE
301,brasileiro-a,2016,38,11-12,Chapecoense,Atlético-MG,0,0,EMPATE
302,brasileiro-a,2016,38,11-12,Cruzeiro,Corinthians,3,2,MANDANTE
303,brasileiro-a,2016,38,11-12,Fluminense,Internacional,1,1,EMPATE
304,brasileiro-a,2016,38,11-12,Grêmio,Botafogo,0,1,VISITANTE
305,brasileiro-a,2016,38,11-12,Ponte Preta,Coritiba,2,0,MANDANTE
306,brasileiro-a,2016,38,11-12,Santos,América-MG,1,0,MANDANTE
307,brasileiro-a,2016,38,11-12,São Paulo,Santa Cruz,5,0,MANDANTE
308,brasileiro-a,2016,38,11-12,Sport Recife,Figueirense,2,0,MANDANTE
309,brasileiro-a,2016,38,11-12,Vitória,Palmeiras,1,2,VISITANTE
310,brasileiro-a,2016,37,28-11,Coritiba,Vitória,0,1,VISITANTE
311,brasileiro-a,2016,37,27-11,Figueirense,Fluminense,1,0,MANDANTE
312,brasileiro-a,2016,37,27-11,Santa Cruz,Grêmio,5,1,MANDANTE
313,brasileiro-a,2016,37,27-11,Atlético-MG,São Paulo,1,2,VISITANTE
314,brasileiro-a,2016,37,27-11,Flamengo,Santos,2,0,MANDANTE
315,brasileiro-a,2016,37,27-11,Internacional,Cruzeiro,1,0,MANDANTE
316,brasileiro-a,2016,37,27-11,Palmeiras,Chapecoense,1,0,MANDANTE
317,brasileiro-a,2016,37,26-11,Corinthians,Atlético-PR,0,0,EMPATE
318,brasileiro-a,2016,37,26-11,América-MG,Sport Recife,2,2,EMPATE
319,brasileiro-a,2016,37,26-11,Botafogo,Ponte Preta,1,1,EMPATE
320,brasileiro-a,2016,36,21-11,Corinthians,Internacional,1,0,MANDANTE
321,brasileiro-a,2016,36,20-11,Chapecoense,São Paulo,2,0,MANDANTE
322,brasileiro-a,2016,36,20-11,Flamengo,Coritiba,2,2,EMPATE
